,Bus Number,County,FIPS
0,1,Anderson,48001
1,2,Wheeler,48483
2,3,Brewster,48043
3,4,Brazoria,48039
4,5,Hidalgo,48215
5,6,Collin,48085
6,7,Eastland,48133
7,8,Comal,48091
8,9,Brazos,48041
9,10,Dallas,48113
10,11,Parker,48367
11,12,Dawson,48115
12,13,Dallas,48113
13,14,Borden,48033
14,15,Comal,48091
15,16,Oldham,48359
16,17,Hays,48209
17,18,San Patricio,48409
18,19,Frio,48163
19,20,Dallas,48113
20,21,Tom Green,48451
21,22,Tom Green,48451
22,23,Caldwell,48055
23,24,Washington,48477
24,25,Willacy,48489
25,26,Upton,48461
26,27,Tarrant,48439
27,28,Mason,48319
28,29,Travis,48453
29,30,Taylor,48441
30,31,Atascosa,48013
31,32,Nueces,48355
32,33,Comal,48091
33,34,Taylor,48441
34,35,Haskell,48207
35,36,Bastrop,48021
36,37,Tarrant,48439
37,38,Atascosa,48013
38,39,Montgomery,48339
39,40,Palo Pinto,48363
40,41,Concho,48095
41,42,Hill,48217
42,43,Milam,48331
43,44,Grimes,48185
44,45,Bandera,48019
45,46,Jim Wells,48249
46,47,Bexar,48029
47,48,Nolan,48353
48,49,Zapata,48505
49,50,Howard,48227
50,51,Cameron,48061
51,52,Bexar,48029
52,53,Ward,48475
53,54,Leon,48289
54,55,Tarrant,48439
55,56,Travis,48453
56,57,Galveston,48167
57,58,Wilbarger,48487
58,59,Ector,48135
59,60,Parker,48367
60,61,Burnet,48053
61,62,Brazoria,48039
62,63,McLennan,48309
63,64,Bexar,48029
64,65,McMullen,48311
65,66,Concho,48095
66,67,Harris,48201
67,68,Harris,48201
68,69,Harris,48201
69,70,Edwards,48137
70,71,Kenedy,48261
71,72,Cameron,48061
72,73,Webb,48479
73,74,Scurry,48415
74,75,Carson,48065
75,76,Collin,48085
76,77,Llano,48299
77,78,Limestone,48293
78,79,Bastrop,48021
79,80,Refugio,48391
80,81,Smith,48423
81,82,Collin,48085
82,83,Bexar,48029
83,84,Harris,48201
84,85,Willacy,48489
85,86,Harris,48201
86,87,Throckmorton,48447
87,88,Bexar,48029
88,89,Harris,48201
89,90,Wharton,48481
90,91,DeWitt,48123
91,92,Montgomery,48339
92,93,Young,48503
93,94,Taylor,48441
94,95,Montgomery,48339
95,96,Harris,48201
96,97,Tarrant,48439
97,98,Cherokee,48073
98,99,Falls,48145
99,100,Harris,48201
100,101,Dallas,48113
101,102,Parker,48367
102,103,Cameron,48061
103,104,Tarrant,48439
104,105,Montgomery,48339
105,106,Montgomery,48339
106,107,Somervell,48425
107,108,Travis,48453
108,109,Dallas,48113
109,110,Brazos,48041
110,111,Matagorda,48321
111,112,Hidalgo,48215
112,113,Nueces,48355
113,114,Collin,48085
114,115,Navarro,48349
115,116,Harris,48201
116,117,Johnson,48251
117,118,Hidalgo,48215
118,119,Nolan,48353
119,120,Knox,48275
120,121,Hall,48191
121,122,Grayson,48181
122,123,Rusk,48401
