Bus ID,Bus Name,BaseKV,Bus Type,MW Load,MVAR Load,V Mag,V Angle,Area,Zone
1,p1,230,PV,5317,0,1,0,1,1
2,p2,230,PV,2908,0,1,0,2,1
3,p3,230,PV,1296,0,1,0,3,1
4,p4,230,PV,512,0,1,0,4,1
5,p5,230,PV,3822,0,1,0,5,1
6,p6,230,PV,1132,0,1,0,6,1
7,p7,230,PV,131,0,1,0,7,1
8,p8,230,PV,123,0,1,0,8,1
9,p9,230,PV,10381,0,1,0,9,1
10,p10,230,PV,12190,0,1,0,10,1
11,p11,230,PV,1584,0,1,0,11,1
12,p12,230,PV,1207,0,1,0,12,1
13,p13,230,PV,2193,0,1,0,13,1
14,p14,230,PV,442,0,1,0,14,1
15,p15,230,PV,1508,0,1,0,15,1
16,p16,230,PV,483,0,1,0,16,1
17,p17,230,PV,846,0,1,0,17,1
18,p18,230,PV,473,0,1,0,18,1
19,p19,230,PV,12,0,1,0,19,1
20,p20,230,PV,210,0,1,0,20,1
21,p21,230,PV,876,0,1,0,21,1
22,p22,230,PV,212,0,1,0,22,1
23,p23,230,PV,143,0,1,0,23,1
24,p24,230,PV,780,0,1,0,24,1
25,p25,230,PV,2870,0,1,0,25,1
26,p26,230,PV,165,0,1,0,26,1
27,p27,230,PV,889,0,1,0,27,1
28,p28,230,PV,4891,0,1,0,28,1
29,p29,230,PV,108,0,1,0,29,1
30,p30,230,PV,964,0,1,0,30,1
31,p31,230,PV,1692,0,1,0,31,1
32,p32,230,PV,176,0,1,0,32,1
33,p33,230,PV,3697,0,1,0,33,1
34,p34,230,PV,1518,0,1,0,34,1
