UID,From Bus,To Bus,MW Load
branch_p1_p2,1,2,9000
branch_p1_p4,1,4,9804
branch_p2_p3,2,3,1942
branch_p2_p4,2,4,4252
branch_p2_p5,2,5,15397
branch_p2_p14,2,14,5207
branch_p3_p4,3,4,9721
branch_p3_p5,3,5,762
branch_p3_p14,3,14,8360
branch_p3_p17,3,17,2843
branch_p5_p6,5,6,3809
branch_p5_p7,5,7,1778
branch_p5_p10,5,10,2780
branch_p5_p14,5,14,352
branch_p5_p15,5,15,478
branch_p6_p7,6,7,797
branch_p6_p8,6,8,1939
branch_p6_p9,6,9,2366.881243
branch_p7_p8,7,8,50
branch_p7_p12,7,12,1
branch_p7_p15,7,15,1303
branch_p8_p9,8,9,85.18212088
branch_p8_p12,8,12,300
branch_p9_p10,9,10,8242
branch_p9_p12,9,12,105.8621733
branch_p10_p11,10,11,7240
branch_p10_p12,10,12,7.878115226
branch_p10_p13,10,13,2283
branch_p10_p25,10,25,1920
branch_p10_p27,10,27,1746
branch_p10_p28,10,28,1204.407438
branch_p12_p13,12,13,252.8711057
branch_p12_p15,12,15,863
branch_p12_p25,12,25,319
branch_p13_p25,13,25,155.772755
branch_p13_p27,13,27,1955
branch_p13_p28,13,28,2492
branch_p14_p15,14,15,1204
branch_p14_p17,14,17,1593
branch_p15_p16,15,16,4469
branch_p15_p17,15,17,2537
branch_p15_p21,15,21,847
branch_p15_p25,15,25,680
branch_p16_p17,16,17,179
branch_p16_p18,16,18,48
branch_p16_p21,16,21,2853
branch_p16_p25,16,25,785
branch_p17_p18,17,18,2077
branch_p17_p20,17,20,1789
branch_p18_p19,18,19,262
branch_p18_p20,18,20,2321
branch_p18_p21,18,21,1361
branch_p18_p22,18,22,94.55927052
branch_p21_p24,21,24,295.8206687
branch_p21_p25,21,25,1282
branch_p21_p26,21,26,628
branch_p22_p23,22,23,1010
branch_p22_p24,22,24,518
branch_p23_p24,23,24,868
branch_p23_p32,23,32,2063
branch_p24_p32,24,32,422
branch_p24_p33,24,33,3320
branch_p25_p26,25,26,1237
branch_p25_p28,25,28,142.2724496
branch_p25_p31,25,31,299.0836897
branch_p26_p33,26,33,239.2401216
branch_p27_p28,27,28,799
branch_p28_p29,28,29,5047
branch_p28_p30,28,30,4209
branch_p28_p31,28,31,3357
branch_p29_p30,29,30,639
branch_p29_p31,29,31,3602
branch_p31_p34,31,34,690
branch_p33_p34,33,34,2735
