Simulation,Category,Object,Parameter,Data File
DAY_AHEAD,Generator,Hydro_R1,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Hydro_R1,PMax MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Hydro_R2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Hydro_R2,PMax MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Hydro_R3,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Hydro_R3,PMax MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Wind_R1,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Wind_R1,PMax MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Wind_R2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Wind_R2,PMax MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Wind_R3,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Wind_R3,PMax MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Solar_R1,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Solar_R1,PMax MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Solar_R2,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Solar_R2,PMax MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Solar_R3,PMin MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Generator,Solar_R3,PMax MW,DAY_AHEAD_renewables.csv
DAY_AHEAD,Area,1,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,2,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,3,MW Load,DAY_AHEAD_load.csv
REAL_TIME,Generator,Hydro_R1,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Hydro_R1,PMax MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Hydro_R2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Hydro_R2,PMax MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Hydro_R3,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Hydro_R3,PMax MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Wind_R1,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Wind_R1,PMax MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Wind_R2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Wind_R2,PMax MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Wind_R3,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Wind_R3,PMax MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Solar_R1,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Solar_R1,PMax MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Solar_R2,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Solar_R2,PMax MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Solar_R3,PMin MW,REAL_TIME_renewables.csv
REAL_TIME,Generator,Solar_R3,PMax MW,REAL_TIME_renewables.csv
REAL_TIME,Area,1,MW Load,REAL_TIME_load.csv
REAL_TIME,Area,2,MW Load,REAL_TIME_load.csv
REAL_TIME,Area,3,MW Load,REAL_TIME_load.csv

